Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Precip (mm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),date
-82.96,42.28,WINDSOR A,6139530,2020,1,1,2.4,-3.2,-0.4,18.4,0.0,0.0,25.0,42.0,2020-01-01
-82.96,42.28,WINDSOR A,6139530,2020,1,2,8.8,0.8,4.8,13.2,0.0,0.0,23.0,54.0,2020-01-02
-82.96,42.28,WINDSOR A,6139530,2020,1,3,7.1,2.7,4.9,13.1,0.0,0.0,,,2020-01-03
-82.96,42.28,WINDSOR A,6139530,2020,1,4,3.0,-0.9,1.1,16.9,0.0,0.0,32.0,46.0,2020-01-04
-82.96,42.28,WINDSOR A,6139530,2020,1,5,3.8,-1.4,1.2,16.8,0.0,0.7,29.0,68.0,2020-01-05
-82.96,42.28,WINDSOR A,6139530,2020,1,6,6.7,-1.9,2.4,15.6,0.0,0.0,24.0,63.0,2020-01-06
-82.96,42.28,WINDSOR A,6139530,2020,1,7,5.8,-3.4,1.2,16.8,0.0,0.2,30.0,76.0,2020-01-07
-82.96,42.28,WINDSOR A,6139530,2020,1,8,-1.0,-11.8,-6.4,24.4,0.0,0.0,32.0,58.0,2020-01-08
-82.96,42.28,WINDSOR A,6139530,2020,1,9,7.9,-10.8,-1.5,19.5,0.0,0.0,22.0,58.0,2020-01-09
-82.96,42.28,WINDSOR A,6139530,2020,1,10,9.8,5.2,7.5,10.5,0.0,10.9,22.0,54.0,2020-01-10
-82.96,42.28,WINDSOR A,6139530,2020,1,11,12.6,0.1,6.4,11.6,0.0,50.0,2.0,55.0,2020-01-11
-82.96,42.28,WINDSOR A,6139530,2020,1,12,0.2,-5.1,-2.5,20.5,0.0,2.2,30.0,55.0,2020-01-12
-82.96,42.28,WINDSOR A,6139530,2020,1,13,3.6,-2.4,0.6,17.4,0.0,0.0,26.0,35.0,2020-01-13
-82.96,42.28,WINDSOR A,6139530,2020,1,14,5.9,-1.3,2.3,15.7,0.0,0.0,26.0,46.0,2020-01-14
-82.96,42.28,WINDSOR A,6139530,2020,1,15,4.2,-3.4,0.4,17.6,0.0,0.7,30.0,59.0,2020-01-15
-82.96,42.28,WINDSOR A,6139530,2020,1,16,2.5,-5.3,-1.4,19.4,0.0,0.0,30.0,61.0,2020-01-16
-82.96,42.28,WINDSOR A,6139530,2020,1,17,-2.9,-7.6,-5.3,23.3,0.0,0.0,12.0,33.0,2020-01-17
-82.96,42.28,WINDSOR A,6139530,2020,1,18,4.1,-3.7,0.2,17.8,0.0,11.9,26.0,78.0,2020-01-18
-82.96,42.28,WINDSOR A,6139530,2020,1,19,-3.7,-7.9,-5.8,23.8,0.0,0.0,26.0,63.0,2020-01-19
-82.96,42.28,WINDSOR A,6139530,2020,1,20,-3.4,-9.6,-6.5,24.5,0.0,0.0,33.0,32.0,2020-01-20
-82.96,42.28,WINDSOR A,6139530,2020,1,21,-2.1,-7.1,-4.6,22.6,0.0,0.0,27.0,35.0,2020-01-21
-82.96,42.28,WINDSOR A,6139530,2020,1,22,-1.0,-6.0,-3.5,21.5,0.0,0.0,19.0,42.0,2020-01-22
-82.96,42.28,WINDSOR A,6139530,2020,1,23,2.1,-4.1,-1.0,19.0,0.0,0.2,,,2020-01-23
-82.96,42.28,WINDSOR A,6139530,2020,1,24,3.3,0.4,1.9,16.1,0.0,10.2,9.0,41.0,2020-01-24
-82.96,42.28,WINDSOR A,6139530,2020,1,25,2.9,0.4,1.7,16.3,0.0,1.8,24.0,35.0,2020-01-25
-82.96,42.28,WINDSOR A,6139530,2020,1,26,2.3,0.7,1.5,16.5,0.0,0.4,22.0,54.0,2020-01-26
-82.96,42.28,WINDSOR A,6139530,2020,1,27,2.2,0.8,1.5,16.5,0.0,0.0,33.0,33.0,2020-01-27
-82.96,42.28,WINDSOR A,6139530,2020,1,28,1.7,-1.7,0.0,18.0,0.0,0.0,,,2020-01-28
-82.96,42.28,WINDSOR A,6139530,2020,1,29,-0.3,-1.8,-1.1,19.1,0.0,0.0,,,2020-01-29
-82.96,42.28,WINDSOR A,6139530,2020,1,30,-0.4,-1.7,-1.1,19.1,0.0,0.0,,,2020-01-30
-82.96,42.28,WINDSOR A,6139530,2020,1,31,0.4,-3.8,-1.7,19.7,0.0,0.0,,,2020-01-31
-82.96,42.28,WINDSOR A,6139530,2020,2,1,1.2,-5.2,-2.0,20.0,0.0,1.0,19.0,35.0,2020-02-01
-82.96,42.28,WINDSOR A,6139530,2020,2,2,11.2,0.2,5.7,12.3,0.0,0.0,27.0,59.0,2020-02-02
-82.96,42.28,WINDSOR A,6139530,2020,2,3,8.4,-1.0,3.7,14.3,0.0,0.0,,,2020-02-03
-82.96,42.28,WINDSOR A,6139530,2020,2,4,2.6,-0.9,0.9,17.1,0.0,0.0,2.0,42.0,2020-02-04
-82.96,42.28,WINDSOR A,6139530,2020,2,5,-1.0,-5.3,-3.2,21.2,0.0,1.1,35.0,39.0,2020-02-05
-82.96,42.28,WINDSOR A,6139530,2020,2,6,-2.0,-4.5,-3.3,21.3,0.0,0.6,4.0,45.0,2020-02-06
